Olympic,Class,Finish,Country,BoatManufacturer,BoatModel,Rigger,Mount,Backstay,Seat,Span,Spread,OarManufacturer,OarModel,OarShaft,OarLength,OarInboard,OarOutboard,BladeShape,BladeLength,BladeWidth,VortexEdge,WorkTrough,WorkHeels,WorkToes,StretcherAngle,SwivelAboveSeatStarboard,SwivelAboveSeatPortside,SwivelAboveSeatSweep,SeatAboveHeels,PitchStarboard,PitchPortside,PitchSweep,MeasurementDate
O,M2x,2,POL,Filippi,,"Carbon wing",Bow,No,2,158.5,,C2,Skinny,Med,289,89.5,199.5,SM2P,46,21.5,No,19,41,,41,21,18.5,,16.5,6,6,,""
O,M2x,3,ITA,Filippi,,"Carbon wing",Bow,No,1,159.5,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,7,39,,42,19.5,19,,19,7,6,,""
O,M2x,3,ITA,Filippi,,"Carbon wing",Bow,No,2,159.5,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,12,40,,44,20.5,19.5,,18.5,5,5,,""
O,M2x,4,LTU,Filippi,F17,"Carbon Wing",Bow,No,1,159,,Croker,C39,Stiff,289,88,201,Smooth,46,21.5,No,,47,56.5,41,18.5,17.5,,18,3,3,,""
O,M2x,4,LTU,Filippi,F17,"Carbon Wing",Bow,No,2,159,,Croker,C39,Stiff,289,88,201,Smooth,46,21.5,No,,49,64.5,42,20.5,19.5,,19,3,3,,""
"",M2x,5,NOR,Empacher,X22,"Carbon wing",Bow,No,1,159,,C2,Skinny,Stiff,288.5,89.5,199,SM2P,46,21.5,No,14.3,36,,39,19.5,18.3,,16.3,4,4,,""
"",M2x,5,NOR,Empacher,X22,"Carbon wing",Bow,No,2,159,,C2,Skinny,Stiff,289,88.5,200.5,SM2P,46,21.5,No,17.3,34,,43,19,17.2,,18,4,4,,""
"",M2x,6,FRA,Filippi,,"Carbon wing",Bow,No,1,160,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,15,40,,42,17.5,16.5,,21.5,4,4,,""
"",M2x,6,FRA,Filippi,,"Carbon wing",Bow,No,2,160,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,15,40,,41,18.8,17.8,,18,4,4,,""
"",M2x,7,GBR,Empacher,,"Carbon wing",Bow,No,1,158.5,,C2,Skinny,Med,289,88,201,SM2P,46,21.5,No,12,36.5,,43,19.5,18.6,,20,4,4,,""
"",M2x,7,GBR,Empacher,,"Carbon wing",Bow,No,2,158.5,,C2,Skinny,Med,289,88,201,SM2P,46,21.5,No,12,36.5,,37*,19.4,18.4,,18,4,4,,""
"",M2x,8,SUI,Empacher,,"Carbon wing",Bow,No,1,,,C2,Skinny,Med,,,,,,,,,,,,,,,,,,,""
"",M2x,8,SUI,Empacher,,"Carbon wing",Bow,No,2,,,C2,Skinny,Med,,,,,,,,,,,,,,,,,,,""
"",M2x,9,USA,Empacher,,"Carbon wing",Bow,No,1,159,,C2,Skinny,Med,289,88,201,,,,,,,,,,,,,,,,""
"",M2x,9,USA,Empacher,,"Carbon wing",Bow,No,2,159,,C2,Skinny,Med,289,88,201,,,,,,,,,,,,,,,,""
"",M2x,10,ROU,Filipp,F17,"Carbon Wing",Bow,No,1,160,,C2,Skinny,Med,288.5,88.5,200,SM2P,46,21.5,No,14,32,,42,18,17,,16.5,3,3,,""
"",M2x,10,ROU,Filipp,F17,"Carbon Wing",Bow,No,2,160,,C2,Skinny,Med,290,90,200,SM2P,46,21.5,No,16,41,,42,20.5,19,,17.5,3,3,,""
"",M2x,11,BUL,Filippi,,"Carbon Wing",Bow,No,1,159,,Croker,,,287.5,88,199.5,Smoothie,44,22,No,17,42,,43,20,19.5,,17,5,6,,""
"",M2x,11,BUL,Filippi,,"Carbon Wing",Bow,No,2,159,,Croker,,,287.5,88,199.5,Smoothie,44,22,No,17,39,,43,20,18.5,,17,6,6,,""
"",M2x,12,NED,Empacher,C31,"Carbon Wing",Stern,Yes,1,159.5,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,12,37,,45,18,16.5,,20,4,4,,""
"",M2x,12,NED,Empacher,C31,"Carbon Wing",Stern,Yes,2,159,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,14,38,,42,17,16,,18,4,4,,""
"",M2x,13,ARG,Filippi,,"Carbon Wing",Stern,Yes,1,159,,Croker,,,290,88,202,Smoothie,44,21.5,No,15,39,,41,19.5,18,,17,6,6,,""
"",M2x,13,ARG,Filippi,,"Carbon Wing",Stern,Yes,2,159,,Croker,,,290,88,202,Smoothie,44,21.5,No,17,33,,41,19.5,18,,18,6,6,,""
"",M2x,14,BLR,Empacher,,"Alum wing",Stern,No,1,160,,C2,Skinny,Med,290,89,201,SM2P,46,21.5,No,11,35,,42,18.5,17.5,,17.5,6,6,,""
"",M2x,14,BLR,Empacher,,"Alum wing",Stern,No,2,160,,C2,Skinny,Med,290,88.5,201.5,SM2P,46,21.5,No,11,33,,45,18,17,,19,5,5,,""
"",M2x,15,GER,Empacher,X31,"Carbon Wing",Bow,No,1,158.5,,C2,Skinny,Med,287.3,88,199.3,SM2,46,21.5,Yes,14,32,,45,18.5,18,,19.5,5,5.4,,""
"",M2x,15,GER,Empacher,X31,"Carbon Wing",Bow,No,2,157.5,,C2,Skinny,Med,287,88.5,198.5,SM2,46,21.5,Yes,16,30,,44,18,17.5,,18.5,6,4.8,,""
"",M2x,16,CAN,Hudson,,"Carbon Wing",Bow,No,1,159,,Croker,"Arrow S4",Med,291,89,202,Smoothie,44,21.5,No,,,59,41,19.1,18.5,,22.5,5,5,,""
"",M2x,16,CAN,Hudson,,"Carbon Wing",Bow,No,2,161,,Croker,"Arrow S4",Med,291,89,202,Smoothie,44,21.5,No,,,60,42,19.5,18.8,,21.3,4,4,,""
"",M2x,17,AUS,Filippi,F17,"Carbon Wing",Bow,No,1,159,,Croker,"Arrow S4",Med,290,88,202,Smoothie,44,21.5,No,16.5,35,58,43,19.5,18,,19.5,3,1,,""
"",M2x,17,AUS,Filippi,F17,"Carbon Wing",Bow,No,2,163,,Croker,"Arrow S4",Med,294,90,204,Smoothie,44,21.5,No,10,36,60.5,42,22,20.5,,19,4,3,,""
"",M2x,18,MEX,Hudson,,"Alum wing",Stern,Yes,1,159,,Croker,"Arrow S4",Soft,288.5,88.5,200,Smoothie,44,21.5,No,16,43,,39,20.5,18.5,,16,5,6,,""
"",M2x,18,MEX,Hudson,,"Alum wing",Stern,Yes,2,159,,Croker,"Arrow S4",Soft,288,88.5,199.5,Smoothie,44,21.5,No,16,34,,42,20,19,,16.5,6,6,,""
"",M2x,19,ROU,Filippi,,"Carbon Wing",Bow,No,1,158.5,,C2,Skinny,Med,289,89,200,SM2P,46,21.5,No,14,32,,41,20.5,19,,18,5,5,,""
"",M2x,19,ROU,Filippi,,"Carbon Wing",Bow,No,2,158.5,,C2,Skinny,Med,289,89,200,SM2P,46,21.5,No,12,28,,40,19,17.5,,16.5,6,5,,""
"",M2x,20,EST,Filippi,,"Alum wing",Stern,Yes,1,160,,C2,,Med,288,89,199,SM2,46,21.5,Yes,13,38,,41,21.5,20.5,,17.5,5,3,,""
"",M2x,20,EST,Filippi,,"Alum wing",Stern,Yes,2,160,,C2,,Med,288,89,199,SM2,46,21.5,Yes,16,33,,41,19.5,18.5,,18,5,5,,""
O,M4x,1,LTU,Filippi,F40,"Carbon wing",Stern,Yes,1,159,,Croker,S4,Stiff,289.5,88,201.5,Smooth,44,22,No,,,55,42,19.5,18.5,,19,2,2,0,""
O,M4x,1,LTU,Filippi,F40,"Carbon wing",Stern,Yes,2,159,,Croker,S4,Stiff,289.5,88,201.5,Smooth,44,22,No,,,57,42,19,18,,18.6,2,2,,""
O,M4x,1,LTU,Filippi,F40,"Carbon wing",Stern,Yes,3,159,,Croker,S4,Stiff,289.5,88,201.5,Smooth,44,22,,,,61.4,42,19.7,18.4,,18.1,2,2,,""
O,M4x,1,LTU,Filippi,F40,"Carbon wing",Stern,Yes,4,159,,Croker,S4,Stiff,289.5,88,201.5,Smooth,44,22,,,,62.5,42,20.1,18.8,,18,2,2,,""
O,M4x,2,GBR,Empacher,X48,"Carbon wing",Bow,No,1,156,,C2,Skinny,Med,290,86,204,SM2P,46,21.5,No,8,30,61,42,20,19,,19,4,4,,""
O,M4x,2,GBR,Empacher,X48,"Carbon wing",Bow,No,2,156,,C2,Skinny,Med,290,86,204,SM2P,46,21.5,No,16,29,60,42,20,19,,18.5,4,4,,""
O,M4x,2,GBR,Empacher,X48,"Carbon wing",Bow,No,3,156,,C2,Skinny,Med,290,86,204,SM2P,46,21.5,No,16.5,32,61.5,42,20,19,,19.5,4,4,,""
O,M4x,2,GBR,Empacher,X48,"Carbon wing",Bow,No,4,156,,C2,Skinny,Med,290,86,204,SM2P,46,21.5,No,15,31,61,42,20,19,,19.3,4,4,,""
O,M4x,3,EST,Filippi,,"Alum wing",Stern,Yes,1,160,,C2,Skinny,Med,289,88.5,200.5,SM2,46,21.5,Yes,15,34,,42,21.5,20,,18,3,4,,""
O,M4x,3,EST,Filippi,,"Alum wing",Stern,Yes,2,160,,C2,Skinny,Med,289,88.5,200.5,SM2,46,21.5,Yes,13,28,,41,22.5,20.5,,17,3,4,,""
O,M4x,3,EST,Filippi,,"Alum wing",Stern,Yes,3,160,,C2,Skinny,Med,289,88.5,200.5,SM2,46,21.5,Yes,11,33,,42,22.5,21,,18,5,4,,""
O,M4x,3,EST,Filippi,,"Alum wing",Stern,Yes,4,160,,C2,Skinny,Med,289,88.5,200.5,SM2,46,21.5,Yes,14,31,,43,22,20,,18,4,4,,""
O,M4x,4,NED,Filippi,,"Carbon Wing",Stern,Yes,1,159,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,,47,56.5,41,18.5,17.5,,18,3,3,,""
O,M4x,4,NED,Filippi,,"Carbon Wing",Stern,Yes,2,159,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,,49,64.5,42,20.5,19.5,,19,3,3,,""
O,M4x,4,NED,Filippi,,"Carbon Wing",Stern,Yes,3,159,,C2,Skinny,Med,288,87,201,SM2P,46,21.5,No,,,,,,,,,,,,""
O,M4x,4,NED,Filippi,,"Carbon Wing",Stern,Yes,4,159,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,,,,,,,,,,,,""
"",M4x,5,POL,Empacher,X22,"Carbon wing",Bow,No,1,158,,C2,Skinny,Med,291,89,202,SM2,46,21.5,Yes,15,38,,42,20.5,18.5,,19,5,5,,""
"",M4x,5,POL,Empacher,X22,"Carbon wing",Bow,No,2,158.5,,C2,Skinny,Med,291,89,202,SM2,46,21.5,Yes,15,38,,40,20,18.5,,18,5,5,,""
"",M4x,5,POL,Empacher,X22,"Carbon wing",Bow,No,3,158,,C2,Skinny,Med,291,89,202,SM2,46,21.5,Yes,17,35,,40,20.5,18.5,,18,5,5,,""
"",M4x,5,POL,Empacher,X22,"Carbon wing",Bow,No,4,158.5,,C2,Skinny,Med,291,89,202,SM2,46,21.5,Yes,15,36,,41,20,18.5,,18,5,5,,""
"",M4x,6,NOR,Empacher,X/C43,"Carbon wing",Bow,No,1,158,,C2,Skinny,XX,289,88,201,SM2P,46,21.5,No,14,36,,40,19,17.5,,18,6,6,,""
"",M4x,6,NOR,Empacher,X/C43,"Carbon wing",Bow,No,2,158,,C2,Skinny,XX,289,88,201,SM2P,46,21.5,No,13,39,,41,20.5,18,,19,5,5,,""
"",M4x,6,NOR,Empacher,X/C43,"Carbon wing",Bow,No,3,159,,C2,Skinny,XX,289,88,201,SM2P,46,21.5,No,20,45,,41,20.5,19,,18,5,5,,""
"",M4x,6,NOR,Empacher,X/C43,"Carbon wing",Bow,No,4,158,,C2,Skinny,XX,289,88,201,SM2P,46,21.5,No,12,33,,41,18.5,17.5,,20.5,5,5,,""
"",M4x,7,NZL,Filippi,F40,"Carbon wing",Bow,No,1,158,,C2,Skinny,Med,289.5,88,201.5,SM2P,46,21.5,No,18,36,,43,19,18,,19.1,3,3,,""
"",M4x,7,NZL,Filippi,F40,"Carbon wing",Bow,No,2,158,,C2,Skinny,Med,289.5,88,201.5,SM2P,46,21.5,No,18,36,,43,18,17,,19,3,3,,""
"",M4x,7,NZL,Filippi,F40,"Carbon wing",Bow,No,3,158,,C2,Skinny,Med,289.5,88,201.5,SM2P,46,21.5,No,17,42,,43,19,18,,21.5,3,3,,""
"",M4x,7,NZL,Filippi,F40,"Carbon wing",Bow,No,4,158,,C2,Skinny,Med,289.5,88,201.5,SM2P,46,21.5,No,18,36.5,,43,18.5,17.5,,18.7,3,3,,""
"",M4x,8,GER,Empacher,X48,"Carbon Wing",Bow,Yes,1,159.5,,Empacher,RAR462,,291.5,88,203.5,,43.5,21.5,No,17,38,,,19,18.5,,18,4,4,,""
"",M4x,8,GER,Empacher,X48,"Carbon Wing",Bow,Yes,2,159.5,,Empacher,RAR462,,291.5,88,203.5,,43.5,21.5,No,12,41,,45,18.5,18,,20,4,4,,""
"",M4x,8,GER,Empacher,X48,"Carbon Wing",Bow,Yes,3,159.5,,Empacher,RAR462,,291.5,88,203.5,,43.5,21.5,No,18,37,,43,18.5,18,,19,4,4,,""
"",M4x,8,GER,Empacher,X48,"Carbon Wing",Bow,Yes,4,159.5,,Empacher,RAR462,,291.5,88,203.5,,43.5,21.5,No,12,34,,46,18.5,18,,18,4,4,,""
"",M4x,9,FRA,Filippi,F40,"Carbon Wing",Bow,No,1,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,12,,,42,17,18,,20.2,4,4,,""
"",M4x,9,FRA,Filippi,F40,"Carbon Wing",Bow,No,2,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,12,,,43,17.4,18,,21,4,4,,""
"",M4x,9,FRA,Filippi,F40,"Carbon Wing",Bow,No,3,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,12,,,43,17.2,18.5,,18.8,4,4,,""
"",M4x,9,FRA,Filippi,F40,"Carbon Wing",Bow,No,4,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,12,,,42,17,18,,21,4,4,,""
"",M4x,10,RUS,Filippi,,"Carbon Wing",Bow,No,1,159,,Croker,Arrow359,,289,87.5,201.5,Smoothie,44,22,No,15,41,,43,20.5,18.5,,19.5,6,5,,""
"",M4x,10,RUS,Filippi,,"Carbon Wing",Bow,No,2,159,,Croker,Arrow359,,289,87.5,201.5,Smoothie,44,22,No,14,38,,42,20,18,,19.5,5,5,,""
"",M4x,10,RUS,Filippi,,"Carbon Wing",Bow,No,3,159,,Croker,Arrow359,,289,87.5,201.5,Smoothie,44,22,No,15,38,,41,20,19,,18,5,4,,""
"",M4x,10,RUS,Filippi,,"Carbon Wing",Bow,No,4,159,,Croker,Arrow359,,289,87.5,201.5,Smoothie,44,22,No,15,31,,41,20.5,18.5,,20,5,5,,""
"",M4x,11,UKR,Filippi,F40,"Carbon Wing",Bow,No,1,159,,Croker,S39,,290,88,202,Smoothie,44,22,No,17,38,,42,22,20.5,,18,5,4,,""
"",M4x,11,UKR,Filippi,F40,"Carbon Wing",Bow,No,2,159,,Croker,S39,,290,88,202,Smoothie,44,22,No,18,37,,41,23,20.5,,18.5,6,5,,""
"",M4x,11,UKR,Filippi,F40,"Carbon Wing",Bow,No,3,159,,Croker,S39,,290,88,202,Smoothie,44,22,No,17,34,,42,23.5,21,,18.5,6,6,,""
"",M4x,11,UKR,Filippi,F40,"Carbon Wing",Bow,No,4,159,,Croker,S39,,290,88,202,Smoothie,44,22,No,15,40,,43,20,19,,19.5,6,6,,""
"",M4x,12,ITA,Filippi,,"Carbon wing",Stern,Yes,1,159.5,,C2,Skinny,Med,290,90,200,SM2P,46,21.5,No,14,37,,42,20,19,,19,6,6,,""
"",M4x,12,ITA,Filippi,,"Carbon wing",Stern,Yes,2,160,,C2,Skinny,Med,290.5,89,201.5,SM2P,46,21.5,No,15,37,,43,19.5,18,,20,6,6,,""
"",M4x,12,ITA,Filippi,,"Carbon wing",Stern,Yes,3,161,,C2,Skinny,Med,290,89,201,SM2P,46,21.5,No,17,43,,42,20,19,,18,5,5,,""
"",M4x,12,ITA,Filippi,,"Carbon wing",Stern,Yes,4,159.5,,C2,Skinny,Med,290.5,90.5,200,SM2P,46,21.5,No,18,38,,42,21,20,,19,6,6,,""
"",M4x,13,CHN,Filippi,F40,"Carbon wing",Bow,No,1,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,13,37,,43,18.5,17,,17,7,7,,""
"",M4x,13,CHN,Filippi,F40,"Carbon wing",Bow,No,2,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,18,37,,42,19,17.5,,19,7,6,,""
"",M4x,13,CHN,Filippi,F40,"Carbon wing",Bow,No,3,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,14,36,,43,19,17.5,,17,7,7,,""
"",M4x,13,CHN,Filippi,F40,"Carbon wing",Bow,No,4,159,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,13,39,,43,18.5,17.5,,18,7,7,,""
"",M4x,14,CUB,Filippi,F40,"Carbon wing",Bow,No,1,158,,C2,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,15,37,,41.5,18,15,,22.5,5.5,6,,""
"",M4x,14,CUB,Filippi,F40,"Carbon wing",Bow,No,2,157.5,,C2,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,17,40,,46,19.5,17,,19.5,6,7,,""
"",M4x,14,CUB,Filippi,F40,"Carbon wing",Bow,No,3,159,,C2,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,21,40,,45,18.5,17,,22,5.5,6,,""
"",M4x,14,CUB,Filippi,F40,"Carbon wing",Bow,No,4,157.5,,C2,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,13,35,,45,17,15.5,,20,6,6,,""
"",M4x,15,USA,Empacher,X44,"Carbon wing",Bow,No,1,157,,Croker,Slick40,,288.5,87,201.5,Smoothie,44,22,No,16,32,,42.6,19.5,18.5,,20,3.8,3.3,,""
"",M4x,15,USA,Empacher,X44,"Carbon wing",Bow,No,2,157,,Croker,Slick40,,288.5,87,201.5,Smoothie,44,22,No,17,33,,43,21,19,,19,4.6,4.7,,""
O,LW2x,1,ROU,Filippi,F36,"Carbon wing",Bow,Yes,1,160,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,,59.5,,38,13.5,12,,19,5,5,0,""
O,LW2x,1,ROU,Filippi,F36,"Carbon wing",Bow,Yes,2,160,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,,59.5,,38,13.5,12,,18,5,5,,""
O,LW2x,2,NZL,Filippi,F36,"Carbon wing",Stern,Yes,1,159.5,,C2,Skinny,Soft,287,87.5,199.5,SM2P,46,21.5,No,23,35,,42,16.2,15.7,,18,4,4,0,""
O,LW2x,2,NZL,Filippi,F36,"Carbon wing",Stern,Yes,2,159.5,,C2,Skinny,Soft,287,87.5,199.5,SM2P,46,21.5,No,23,34,,42,16.2,15.7,,16,4,4,,""
O,LW2x,3,USA,Filippi,F13,"Alum Wing",Stern,Yes,1,159.1,,C2,Skinny,Soft,285,86,199,SM2P,46,21.5,No,11.3,28.3,,43,16.8,15.5,,15.3,5.8,5.8,,""
O,LW2x,3,USA,Filippi,F13,"Alum Wing",Stern,Yes,2,159,,C2,Skinny,Soft,285,86,199,SM2,46,21.5,Yes,19.2,26.5,,41,16.5,15.7,,15.3,5.1,5,,""
O,LW2x,4,POL,Filippi,F36,"Carbon Wing",Bow,No,1,160,,C2,Skinny,Med,285,88.5,196.5,SM2P,46,21.5,No,12,30,,40,17,15,,13,5.6,5.1,,""
O,LW2x,4,POL,Filippi,F36,"Carbon Wing",Bow,No,2,160,,C2,Skinny,Med,284.5,88.7,195.8,SM2P,46,21.5,Yes,15,33,,42,17,15,,13.5,5.7,5.5,,""
"",LW2x,5,GBR,Filippi,F36,"Carbon wing",Bow,No,1,157,,Croker,ArrowS32,,288,88,200,Smoothie,46,21.5,No,15,32,,42.5,16,15,,16.6,4,4,,""
"",LW2x,5,GBR,Filippi,F36,"Carbon wing",Bow,No,2,157,,Croker,ArrowS32,,288,88,200,Smoothie,46,21.5,No,15,34,,42.5,16,15,,16.8,4,4,,""
"",LW2x,6,DEN,Empacher,X29,"Carbon wing",Bow,No,1,158,,C2,Skinny,Med,285.5,87.8,197.7,Sm2,46,21.5,Yes,15.5,30,,45.7,18.5,17,,14,5.1,3.8,,""
"",LW2x,6,DEN,Empacher,X29,"Carbon wing",Bow,No,2,158,,C2,Skinny,Med,285.5,87.5,198,Sm2,46,21.5,Yes,16,32,,44*,18,16.5,,13.5,5.2,3.7,"*shimano shoes",""
"",LW2x,7,FRA,Filipp1,,"Carbon wing",Stern,Yes,1,159,,C2,Skinny,Soft,286.5,88.5,198,Sm2,46,21.5,Yes,14,31,,42,14.8,14,,18,5,5,,""
"",LW2x,7,FRA,Filipp1,,"Carbon wing",Stern,Yes,2,159,,C2,Skinny,Soft,286.5,88.5,198,Sm2,46,21.5,Yes,18,32,,42,14.1,13.1,,16.5,5,5,,""
"",LW2x,8,ITA,Filippi,F36,"Carbon Wing",Stern,Yes,1,159,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,18,33,,39,17.5,16.5,,15.5,4,5,,""
"",LW2x,8,ITA,Filippi,F36,"Carbon Wing",Stern,Yes,2,159.3,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,17.5,27,,42,16.5,16,,13,3,5,,""
"",LW2x,9,GER,Empacher,X29,"Carbon Wing",Bow,No,1,158.5,,C2,,Soft,286,86.2,199.8,Sm2,46,21.5,Yes,15,25,,45.7,15.5,15,,15,4,3,,""
"",LW2x,9,GER,Empacher,X29,"Carbon Wing",Bow,No,2,159,,C2,,Soft,286,86.2,199.8,Sm2,46,21.5,Yes,17,32,,46,16.5,15.5,,12.5,5,3.5,,""
"",LW2x,10,CHN,Filippi,F13,"Carbon Wing",Bow,No,1,159,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,15,37.5,,40.4,17.5,16.5,,15,4.8,4.9,,""
"",LW2x,10,CHN,Filippi,F13,"Carbon Wing",Bow,No,2,159,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,16.5,35,,40,18,16.3,,16.5,5,4.9,,""
"",LW2x,11,GRE,Filippi,F36,"Carbon Wing",Bow,No,1,159,,C2,Skinny,Med,284.5,88.5,196,SM2P,46,21.5,No,17,29.6,,43,15,13.5,,13.5,4.9,4.4,,""
"",LW2x,11,GRE,Filippi,F36,"Carbon Wing",Bow,No,2,160,,C2,Skinny,Med,283.5,87.5,196,SM2P,46,21.5,No,15.5,32,,42,17.8,16,,14,4.8,4.6,,""
"",LW2x,12,RUS,Filippi,F36,"Carbon Wing",Stern,Yes,1,159.5,,C2,Skinny,,285.5,87,198.5,SM2P,46,21.5,No,21.5,34.5,,40.8,17.5,16,,15.5,4.7,5,,""
"",LW2x,12,RUS,Filippi,F36,"Carbon Wing",Stern,Yes,2,159.5,,C2,Skinny,,285.5,87,198.5,SM2P,46,21.5,No,18,33.5,,41.2,16.5,15,,15.5,5.2,4.5,,""
"",LW2x,13,SWE,Filippi,F36,"Carbon Wing",Bow,No,1,158,,C2,Skinny,Soft,286,87.5,198.5,SM2P,46,21.5,No,15,31.5,,40,15,13,,19,4,5.6,,""
"",LW2x,13,SWE,Filippi,F36,"Carbon Wing",Bow,No,2,159,,C2,Skinny,Soft,286,87.5,198.5,SM2P,46,21.5,No,11.5,31.5,,39,14.5,13,,17,4,4.3,,""
"",LW2x,14,SUI,Filippi,36,"Carbon Wing",Bow,No,1,,,C2,Skinny,Med,286,86.8,199.2,SM2P,46,21.5,No,,,,43.5,16,14.5,,16,3,3,,""
"",LW2x,14,SUI,Filippi,36,"Carbon Wing",Bow,No,2,,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,,,,44,16.5,15,,16.5,3,3,,""
"",LW2x,15,GUA,Filippi,F36,"Carbon Wing",Bow,No,1,158.5,,C2,,Med,285,87,198,SM2P,46,21.5,No,11,26,,44,16,15.5,,16,4,4,,""
