Olympic/Non Olympic/Adaptive (O/N/A),Event ,Finish Position,Country,Boat Manufacturer,Model Number,Rigger Type,stern/bow mounted,Backstay,Position in Boat,Span (cm) Scull,Spread (cm)Sweep,Oar Manufacturer,Model,Shaft type and flex,Overall Oar Length (cm),Oar Inboard Length (cm),Oar Outboard Length (cm),Blade Shape,Blade Length (cm),Blade Width,Vortex Edge,Distance Through Work (cm),Line of Work Heels (cm),Line of Work - Toes (cm),Foot Stretcher Angle (deg),Swivel above Seat (cm) starboard scull,Swivel above Seat (cm) portside scull,Swivel above Seat (cm) Sweep,Seat above Heels (cm),Pitch (deg) starboard swivel,Pitch (deg) portside swivel,Pitch (deg) Sweep swivel,Measurement Date
,LW2x,8,ITA,Filippi,F36,Carbon Wing,Stern,Yes,1,159.0,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,18,33,,39,17.5,16.5,,15.5,4.0,5.0,,
,,,,,,,,,2,159.3,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,17.5,27,,42,16.5,16,,13,3.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,9,GER,Empacher,X29,Carbon Wing,Bow,No,1,158.5,,C2,,Soft,286,86.2,199.8,Sm2,46,21.5,Yes,15,25,,45.7,15.5,15,,15,4.0,3.0,,
,,,,,,,,,2,159.0,,C2,,Soft,286,86.2,199.8,Sm2,46,21.5,Yes,17,32,,46,16.5,15.5,,12.5,5.0,3.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,10,CHN,Filippi,F13,Carbon Wing,Bow,No,1,159.0,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,15,37.5,,40.4,17.5,16.5,,15,4.8,4.9,,
,,,,,,,,,2,159.0,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,16.5,35,,40,18,16.3,,16.5,5.0,4.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,11,GRE,Filippi,F36,Carbon Wing,Bow,No,1,159.0,,C2,Skinny,Med,284.5,88.5,196,SM2P,46,21.5,No,17,29.6,,43,15,13.5,,13.5,4.9,4.4,,
,,,,,,,,,2,160.0,,C2,Skinny,Med,283.5,87.5,196,SM2P,46,21.5,No,15.5,32,,42,17.8,16,,14,4.8,4.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,12,RUS,Filippi,F36,Carbon Wing,Stern,Yes,1,159.5,,C2,Skinny,,285.5,87,198.5,SM2P,46,21.5,No,21.5,34.5,,40.8,17.5,16,,15.5,4.7,5.0,,
,,,,,,,,,2,159.5,,C2,Skinny,,285.5,87,198.5,SM2P,46,21.5,No,18,33.5,,41.2,16.5,15,,15.5,5.2,4.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,13,SWE,Filippi,F36,Carbon Wing,Bow,No,1,158.0,,C2,Skinny,Soft,286,87.5,198.5,SM2P,46,21.5,No,15,31.5,,40,15,13,,19,4.0,5.6,,
,,,,,,,,,2,159.0,,C2,Skinny,Soft,286,87.5,198.5,SM2P,46,21.5,No,11.5,31.5,,39,14.5,13,,17,4.0,4.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,14,SUI,Filippi,36,Carbon Wing,Bow,No,1,,,C2,Skinny,Med,286,86.8,199.2,SM2P,46,21.5,No,,,,43.5,16,14.5,,16,3.0,3.0,,
,,,,,,,,,2,,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,,,,44,16.5,15,,16.5,3.0,3.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,15,GUA,Filippi,F36,Carbon Wing,Bow,No,1,158.5,,C2,,Med,285,87,198,SM2P,46,21.5,No,11,26,,44,16,15.5,,16,4.0,4.0,,
,,,,,,,,,2,159.5,,C2,,Med,285,87,198,SM2P,46,21.5,No,15,31,,44,16.5,15,,15,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,16,PER,Hudson,,Alum wing,Bow,No,1,159.0,,C2,,Med,286,86.5,199.5,SM2,46,21.5,Yes,17,33,,43,15,13.5,,16,4.0,5.0,,
,,,,,,,,,2,159.0,,C2,,Med,286,86.5,199.5,SM2,46,21.5,Yes,19,32,,42,15.5,13.5,,15.5,4.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,17,MEX,Filippi,,Alum Wing,Bow,No,1,158.0,,,,,,,,,,,,16,26,,38.7,16,15,,14.5,5.3,6.0,,
,,,,,,,,,2,158.0,,,,,,,,,,,,16.5,22.5,,40.2,14,13.5,,15.5,6.1,4.8,,
O,W2x,1,NZL,Filippi,F13,Carbon wing,Bow,No,1,160.0,,C2,low i,Med,288,87,201,SM2P,46,21.5,No,,,,42,16,15,,18,4,4,0,
,,,,,,,Bow,No,2,160.0,,C2,low i,Med,288,88,200,SM2P,46,21.5,No,,,,42,16,15,,17,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W2x,2,USA,Empacher,X25,Carbon wing,Bow,No,1,159.5,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,16,33,,41,17.7,17,,16.5,6.8,6.1,0,
,,,,,,,,,2,158.5,,C2,Skinny,Soft,287,87.5,199.5,SM2P,46,21.5,No,10,30,,40,15,14,,17.5,6.5,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W2x,3,AUS,Empacher,X36,Carbon wing,Stern,Yes,1,159.0,,Croker,Skinny,Soft,288,87.5,200.5,Smooth,46,21.5,No,12,,58,41,17.5,16.5,,18,4.0,4.0,,
,,,,,,,,,2,159.0,,Croker,Skinny,Soft,288,88,200,Smooth,46,21.5,No,12,,59,41,17.5,16.5,,19,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W2x,4,LTU,Filippi,F46,Carbon Wing,Bow,No,1,158.0,,Croker,S4,Soft,287.5,87.5,200,Smooth,46,21.5,No,,42,,42,15.4,14.4,,17.5,4.0,5.1,,
,,,,,,,,,2,159.0,,Croker,S4,Soft,288,88,200,Smooth,46,21.5,Yes,,44,,42,19,18,,18,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,5,CHN,Empacher,X37,Carbon wing,Bow,No,1,159.0,,C2,,Med,288,88,200,SM2P,46,21.5,No,18,37.5,,45.4,17,15.5,,17.5,4.0,4.9,,
,,,,,,,,,2,159.0,,C2,,Med,288,88,200,SM2P,46,21.5,No,18,37.5,,44.2,18.5,16.5,,16,4.8,3.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,6,FRA,Filippi,F13,Carbon wing,Stern,Yes,1,160.5,,C2,Skinny,Soft,287,87.5,199.5,SM2P,46,21.5,Yes,16,31,,43.8,15.5,14,,20.5,6.2,5.9,,
,,,,,,,,,2,160.5,,C2,Skinny,Soft,287,87,200,SM2P,46,21.5,Yes,15,26.5,,41.8,16,15,,19,3.4,6.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,7,CZE,Filippi,,Carbon wing,Bow,No,1,,,C2,Skinny,Soft,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,,,C2,Skinny,Soft,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,8,NED,Filippi,F13,Carbon Wing,Stern,Yes,1,159.0,,C2,Skinny,Med,287.5,88,199.5,SM2P,46,21.5,No,,37.5,59,43,17,15.5,,17.5,4.0,4.0,,
,,,,,,,,,2,159.0,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,,39.5,61,43,17,15.5,,18,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,9,ITA,Filippi,F46,Carbon Wing,Bow,No,1,161.5,,C2,Skinny,Soft,288.5,89.5,199,SM2P,46,21.5,Yes,21.5,36,,42.7,17.5,16.5,,17,4.2,3.6,,
,,,,,,,,,2,161.0,,C2,Skinny,Soft,288.5,89.5,199,SM2P,46,21.5,Yes,18,35.5,,42.9,18,17,,14.5,3.2,3.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,10,GER,Empacher,X35,Carbon Wing,Bow,No,1,160.0,,C2,Standard,Med,285.5,87.5,198,Big Blade,43,21.5,No,15,34,,43.5,18,17,,18,4.1,2.1,,
,,,,,,,,,2,159.7,,C2,Standard,Med,285.5,87.5,198,Big Blade,43,21.5,No,17.5,32,,41,16.5,15.5,,16,3.0,2.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,11,SWE,Empacher,X25,Carbon Wing,Bow,No,1,159.4,,C2,Skinny,Soft,285.5,86.7,198.8,Sm2,46,21.5,Yes,14,33,,40,16.5,15,,18,4.8,6.8,,
,,,,,,,,,2,159.2,,C2,Skinny,Med,284.5,86,198.5,Sm2,46,21.5,Yes,15,34.5,,42.3,17.7,15.7,,14.5,5.3,5.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,12,GRE,Filippi,F13,Carbon Wing,Stern,Yes,1,160.0,,C2,Skinny,Med,286,88,198,SM2P,46,21.5,No,25,36.5,,42,16.5,16.5,,16,4.9,5.0,,
,,,,,,,,,2,160.0,,C2,Skinny,Med,284.5,87,197.5,SM2P,46,21.5,No,19,35,,40.7,15.5,15.5,,16,4.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,13,DEN,Filippi,F46,Carbon Wing,Stern,Yes,1,158.0,,C2,Skinny,Med,285,87,198.5,SM2P,46,21.5,No,19.5,36,,41,17.5,15.5,,17,4.1,3.7,,
,,,,,,,,,2,158.5,,C2,Skinny,Med,285,87,198.5,SM2P,46,21.5,No,17,32.5,,42,17.5,15.5,,16.5,5.0,4.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W2x,14,NGR,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
O,LM2x,1,FRA,Filippi,,Carbon wing,Bow,No,1,159.0,,C2,Skinny,Med,289,88,201,SM2,46,21.5,Yes,13,31,,41,16.5,16.3,,18,4.0,4.0,0,
,FRA,,,,,,Bow,No,2,159.0,,C2,Skinny,Med,289,88,201,SM2,46,21.5,Yes,15,33,,41,17.3,15.5,,16,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,LM2x,2,ITA,Filippi,,Carbon wing,Bow,No,1,160.0,,C2,Skinny,Med,287.5,89,198.5,SM2P,46,21.5,No,14,39,,46,19.5,18.5,,16,5.0,5.0,0,
,ITA,,,,,,,,2,160.0,,C2,Skinny,Med,287.5,89,198.5,SM2P,46,21.5,No,20,38,,42,20,19,,16,5.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,LM2x,3,CHN,Filippi,,Carbon Wing,Bow,No,1,159.0,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,18,33,,43,17,15,,15,5.0,5.0,,
,CHN,,,,,,,,2,159.0,,C2,Skinny,Med,288,88,200,SM2,46,21.5,No,16,34,,43,16.5,15.5,,16.5,5.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,LM2x,4,POL,Filippi,F13,Carbon Wing,Bow,No,1,159.5,,C2,Skinny,Med,287,88.5,198.5,SM2P,46,21.5,No,17.5,34.5,,42.5,18,16,,18.5,7.0,6.5,,
,POL,,,,,,,,2,159.5,,C2,Skinny,Med,287,88.5,198.5,SM2P,46,21.5,No,16.5,40.5,,42.5,19,17,,16.5,6.8,5.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,5,BEL,Filippi,F13,Carbon wing,Bow,No,1,159.2,,C2,Skinny,Med,288.5,88.5,200,SM2P,46,21.5,No,16.5,37,,43,18.2,17,,17,3.5,4.5,,
,BEL,,,,,,,,2,159.0,,C2,Skinny,Med,288.5,88.5,200,SM2P,46,21.5,No,19.5,35,,41.5*,17.5,16.5,,15,3.7,4.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,6,GER,Filippi,F13,Carbon wing,Bow,No,1,160.0,,C2,Skinny,Med,287.5,88,199.5,Sm2,46,21.5,Yes,20,44,,44,19.5,17.5,,15.5,4.1,3.0,,
,GER,,,,,,,,2,160.0,,C2,Skinny,Med,287.5,88,199.5,Sm2,46,21.5,Yes,16,35,,44,18.5,17,,16,3.6,3.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,7,CZE,Filippi,,Carbon wing,Bow,No,1,157.5,,C2,Skinny,Med,289,88,201,SM2P,46,21.5,Yes,18,32,,42,19.3,17.5,,17,5.0,4.0,,
,CZE,,,,,,,,2,159.0,,C2,Skinny,Med,287,87,200,SM2P,46,21.5,Yes,20,34,,43,20.5,18.5,,17.5,6.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,8,DEN,Filippi,F13,Carbon Wing,Stern,Yes,1,159.5,,C2,Skinny,Med,286.5,87,199.5,SM2P,46,21.5,No,19.5,35,,45,17,15,,20.5,4.1,4.1,,
,DEN,,,,,,,,2,159.5,,C2,Skinny,Med,286.5,87,199.5,SM2P,46,21.5,No,20,32,,43.5,16.5,15,,20.5,5.1,4.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,9,UKR,Filippi,F13,Carbon Wing,Bow,No,1,158.0,,C2,Skinny,Soft,289,88.5,200.5,Sm2,46,21.5,Yes,13,25,,41,17,16,,14,4.0,4.0,,
,UKR,,,,,,,,2,158.5,,C2,Skinny,Soft,288,88.5,199.5,Sm2,46,21.5,Yes,13,35,,43,17,16,,15.5,7.0,3.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,10,GBR,Filippi,,Carbon Wing,Bow,No,1,159.0,,C2,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,20,33.5,,43,17.6,17,,16.5,4.0,4.0,,
,GBR,,,,,,,,2,159.0,,,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,20,39.5,,43,18.1,16.8,,15.5,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,11,ESP,Filippi,,Carbon Wing,Bow,No,1,159.0,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,17,32,,43,17,16,,19.5,6.0,6.0,,
,ESP,,,,,,,,2,159.0,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,19,35,,42,18,16.5,,17.5,6.0,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,12,RSA,Filippi,,Carbon Wing,,,1,160.0,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,,35,55,42.5,17,16,,18,5.0,5.0,,
,RSA,,,,,,,,2,160.0,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,,30.5,49,42.5,17.5,16.5,,16,5.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,13,CAN,Hudson,USP,Carbon Wing,Bow,No,1,159.5,,Croker,S39,Standard,288,88,200,Smoothie,,,No,15,36,54.5,41,15.3,,,18,4.0,4.0,,
,CAN,,,,,,,,2,159.5,,Croker,S39,Standard,288,88,200,Smoothie,,,No,17,35.5,55,41,15.7,,,15.2,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,14,ARG,,,,,,1,159.5,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,20,33,,48,16,14.5,,18,5.0,5.0,,
,ARG,,,,,,,,2,159.5,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,19,37,,42,15.5,14.5,,18.5,5.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,15,JPN,Filippi,F13,Carbon Wing,Bow,No,1,159.0,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,22,32,,42,17,15.5,,13,3.9,4.5,,
,JPN,,,,,,,,2,159.5,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,19,34,,40,17,16.5,,12,4.9,5.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LW2x,16,USA,Empacher,,Carbon wing,Bow,No,1,159.0,,C2,Skinny,Soft,289,89,200,SM2P,46,21.5,No,16,35,,43,18,17,,16,4.0,4.0,,
,USA,,,,,,,,2,159.0,,C2,Skinny,Soft,289,89,200,SM2P,46,21.5,No,13,29,,43,18,16.5,,17,3.0,3.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,17,RUS,Filippi,F13,Carbon wing,Bow,No,1,160.0,,C2,Skinny,Med,287,88.5,198.5,SM2P,46,21.5,No,20.5,36,,40.5,18.5,17.5,,17,4.0,4.6,,
,RUS,,,,,,,,2,160.0,,C2,Skinny,Med,287,88.5,198.5,SM2P,46,21.5,No,17.5,31.5,,43.5,17.5,16.5,,17,5.0,3.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,18,URU,Hudson,S2.21,Alum wing,Bow,No,1,159.0,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,15.5,32,,43,17.2,16.2,,16.6,4.0,4.0,,
,URU,,,,,,,,2,159.0,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,16.5,26.5,,41,15.8,14.8,,15.2,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,19,UZB,Hudson,S2.21,Alum wing,Bow,No,1,160.5,,C2,,Med,288,85.5,202.5,SM2,46,21.5,Yes,20,37,,44,17.5,16.5,,17.5,4.0,4.0,,
,UZB,,,,,,,,2,160.0,,C2,,Med,288,85.5,202.5,SM2,46,21.5,Yes,26,34,,42,17.5,16.5,,16,5.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,20,PER,Hudson,S2.21,Alum wing,Bow,No,1,160.5,,C2,,Med,288,85.5,202.5,SM2,46,21.5,Yes,20,37,,44,17.5,16.5,,17.5,4.0,4.0,,
,PER,,,,,,,,2,160.0,,C2,,Med,288,85.5,202.5,SM2,46,21.5,Yes,26,34,,42,17.5,16.5,,16,5.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,21,GUA,Resolute,,Alum wing,Stern,Yes,1,159.0,,C2,,Med,288,88.5,199.5,SM2,46,21.5,Yes,14,37,,42,16,14.5,,16,3.0,3.0,,
,GUA,,,,,,,,2,158.5,,C2,,Med,288,88.5,199.5,SM2,46,21.5,Yes,15,21,,42,16,15,,14.5,4.0,3.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,22,EGY,Vespoli,VHP30,Alum wing,Bow,No,1,160.5,,Blades not located,,,,,,,,,,16,32,,43,17.5,16,,16.5,5.0,5.0,,
,EGY,,,,,,,,2,160.0,,,,,,,,,,,,15,31,,42,17.5,16,,16.5,5.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LM2x,23,UGA,Hudson,,Alum wing,Bow,Yes,1,159.5,,C2,,Med,287.5,86,201.5,SM2,46,21.5,Yes,19,41,,42,18,17,,18,4.0,4.0,,
,UGA,,,,,,,,2,159.5,,C2,,Med,287.5,86,201.5,SM2,46,21.5,Yes,20,39,,45,17,16.5,,17.5,5.0,5.0,,
O,W8+,1,ROM,Filippi,F42,Carbon wing,Stern,Yes,1,,84.5,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,9,
,,,,,,,,Yes,2,,84.0,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,8,
,,,,,,,,Yes,3,,85.0,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,9,
,,,,,,,,Yes,4,,84.0,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,9,
,,,,,,,,Yes,5,,85.0,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,9,
,,,,,,,,Yes,6,,84.0,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,8,
,,,,,,,,Yes,7,,84.0,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,9,
,,,,,,,,Yes,8,,84.0,C2,Skinny,Med,374,114.5,259.5,SM2P,53.5,25.3,No,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W8+,2,CAN,Hudson,,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,25.3,No,9,,59,42,,,16,18,,,4,
,CAN,,,,,,,,2,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,25.3,No,9,,59,42,,,16,17,,,4,
,,,,,,,,,3,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,25.3,No,9,,59,42,,,16,18,,,4,
,,,,,,,,,4,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,25.3,No,9,,59,42,,,16,19,,,4,
,,,,,,,,,5,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,25.3,No,9,,59,42,,,16,19,,,4,
,,,,,,,,,6,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,25.3,No,9,,59,42,,,16,18,,,4,
,,,,,,,,,7,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,25.3,No,9,,59,42,,,16,18,,,4,
,,,,,,,,,8,,84.0,C2,Skinny2,Soft,373,114,259,SM2P,53.5,21.5,No,9,,59,42,,,16,18,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W8+,3,NZL,Filippi,F42,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,25.3,No,,,56,44,,,16.2,20,,,3,
,NZL,,,,,,,,2,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,25.3,No,,,54,44,,,16.8,19.5,,,4,
,,,,,,,,,3,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,25.3,No,,,57,44,,,17.2,19,,,6,
,,,,,,,,,4,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,25.3,No,,,54,45,,,16.4,19,,,3,
,,,,,,,,,5,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,25.3,No,,,66.5,44,,,18.8,20,,,4,
,,,,,,,,,6,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,25.3,No,,,55,44,,,17.5,19,,,3,
,,,,,,,,,7,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,25.3,No,,,62,44,,,17.4,20,,,3,
,,,,,,,,,8,,84.0,C2,Skinny,Soft,373,114,259,SM2P,53.5,21.5,No,,,62,40,,,15.8,20,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
