Olympic/Non Olympic/Adaptive (O/N/A),Event ,Finish Position,Country,Boat Manufacturer,Model Number,Rigger Type,stern/bow mounted,Backstay,Position in Boat,Span (cm) Scull,Spread (cm)Sweep,Oar Manufacturer,Model,Shaft type and flex,Overall Oar Length (cm),Oar Inboard Length (cm),Oar Outboard Length (cm),Blade Shape,Blade Length (cm),Blade Width,Vortex Edge,Distance Through Work (cm),Line of Work Heels (cm),Line of Work - Toes (cm),Foot Stretcher Angle (deg),Swivel above Seat (cm) starboard scull,Swivel above Seat (cm) portside scull,Swivel above Seat (cm) Sweep,Seat above Heels (cm),Pitch (deg) starboard swivel,Pitch (deg) portside swivel,Pitch (deg) Sweep swivel,Measurement Date
,W8+,4,USA,Empacher,C86,Carbon wing,Stern,Yes,1,,84.0,Croker,M4,,373,114,259,,,,No,12,43,,42,,,17,19,,,5,
,USA,,,,,,,,2,,84.0,Croker,M4,,373,114,259,,,,No,12,41,,42,,,17.5,19,,,5,
,,,,,,,,,3,,84.0,Croker,M4,,373,114,259,,,,No,12,40,,42,,,17,19,,,5,
,,,,,,,,,4,,84.0,Croker,M4,,373,114,259,,,,No,12,42,,42,,,17,18,,,5,
,,,,,,,,,5,,84.0,Croker,M4,,373,114,259,,,,No,12,42,,42,,,18,20,,,5,
,,,,,,,,,6,,84.0,Croker,M4,,373,114,259,,,,No,12,44,,42,,,18.5,20,,,5,
,,,,,,,,,7,,84.0,Croker,M4,,373,114,259,,,,No,12,41,,42,,,17,19,,,5,
,,,,,,,,,8,,84.0,Croker,M4,,373,114,259,,,,No,12,44,,42,,,17.8,19,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W8+,5,GBR,Empacher,X,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40,60,45,,,16.8,17,,,0,*on pin
,GBR,,,,,,,,2,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,39,59,45,,,16.8,17,,,0,
,,,,,,,,,3,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40,60,42,,,17,17,,,0,
,,,,,,,,,4,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,41,61,43,,,17,20,,,0,
,,,,,,,,,5,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,38,58,42,,,17,20,,,0,
,,,,,,,,,6,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40,60,45,,,17,19,,,0,
,,,,,,,,,7,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40.5,60.5,44,,,16.8,18,,,0,
,,,,,,,,,8,,84.0,C2,Skinny,Med,373,114,259,SM2P,53.5,21.5,No,,42.5,62.5,45,,,17.4,19,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W8+,6,NED,Empacher,X,Carbon wing,Stern,Yes,1,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40,60,45,,,16.8,17,,,,
,NED,,,,,,,,2,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,39,59,45,,,16.8,17,,,,
,,,,,,,,,3,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40,60,42,,,17,17,,,,
,,,,,,,,,4,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,41,61,43,,,17,20,,,,
,,,,,,,,,5,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,38,58,42,,,17,20,,,,
,,,,,,,,,6,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40,60,45,,,17,19,,,,
,,,,,,,,,7,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,25.3,No,,40.5,60.5,44,,,16.8,18,,,,
,,,,,,,,,8,,?,C2,Skinny,Med,373,114,259,SM2P,53.5,21.5,No,,42.5,62.5,45,,,17.4,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W8+,7,RUS,Filippi,F42,Alum Wing,Stern,Yes,1,,83.5,C2,,Med,374,114,260,SM2P,53.5,25.3,No,18,31,,43,,,18,18,,,5,
,RUS,,,,,,,,2,,84.0,C2,,Med,370,110.5,259.5,SM2P,53.5,25.3,No,16,32,,43,,,17.5,19,,,5.6,
,,,,,,,,,3,,84.0,C2,,Med,374,114,260,SM2P,53.5,25.3,No,19,34,,43,,,18.5,17,,,6,
,,,,,,,,,4,,84.0,C2,,Med,374,114,260,SM2P,53.5,25.3,No,17,34,,43,,,17.5,21,,,6,
,,,,,,,,,5,,84.0,C2,,Med,374,114,260,SM2P,53.5,25.3,No,17,32,,40.6,,,18.5,19,,,5.9,
,,,,,,,,,6,,84.0,C2,,Med,374,114,260,SM2P,53.5,25.3,No,20,35,,42,,,17.5,19.5,,,6.5,
,,,,,,,,,7,,84.0,C2,,Med,374,114,260,SM2P,53.5,25.3,No,17,32,,43,,,18.5,18,,,5.9,
,,,,,,,,,8,,84.0,C2,,Med,374,114,260,SM2P,53.5,21.5,No,18,28,,42,,,16.5,20,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W8+,8,CHN,Filippi,F42,Alum Wing,Stern,Yes,1,,84.0,C2,Skinny,Med,370,114,256,SM2P,53.5,25.3,No,16.5,38.5,,42.8,,,17.5,17.5,,,7.1,
,CHN,,,,,,,,2,,84.0,C2,Skinny,Med,370,114,256,SM2P,53.5,25.3,No,15.5,35.5,,42.6,,,17.5,17.5,,,7.1,
,,,,,,,,,3,,84.0,C2,Skinny,Med,370,114,256,SM2P,53.5,25.3,No,17,38,,41.5,,,18.5,16.5,,,8.1,
,,,,,,,,,4,,84.0,C2,Skinny,Med,370,114,256,SM2P,53.5,25.3,No,16,38,,2.6,,,17.5,16.5,,,5.9,
,,,,,,,,,5,,84.0,C2,Skinny,Med,370,114,256,SM2P,53.5,25.3,No,16,37,,41.8,,,18,18,,,8,
,,,,,,,,,6,,84.0,C2,Skinny,Med,370,114,256,SM2P,53.5,25.3,No,16,38,,42.7,,,18,18,,,7,
,,,,,,,,,7,,84.0,C2,Skinny,Med,370,114,256,SM2P,53.5,25.3,No,15,36.5,,42,,,18,18,,,7.1,
,,,,,,,,,8,,84.5,C2,Skinny,Med,370,114,256,SM2P,53.5,21.5,No,16,37,,42,,,18,17.5,,,6.1,
,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,
O,W4-,1,AUS,Empacher,C40,Carbon wing,Stern,Yes,1,,85.5,C2,Skinny,Soft,373,116,257,SM2P,53.5,25.3,No,17,,60,42,,,16.5,19,,,4,
,AUS,,,,,,Stern,Yes,2,,85.5,C2,Skinny,Soft,373,116,257,SM2P,53.5,25.3,No,17,,52,42,,,17,18.5,,,4,
,,,,,,,Stern,Yes,3,,85.5,C2,Skinny,Soft,373,116,257,SM2P,53.5,25.3,No,17,,63,42,,,17,20,,,4,
,,,,,,,Stern,Yes,4,,85.5,C2,Skinny,Soft,373,116,257,SM2P,53.5,25.3,No,17,,61,42,,,17,20,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W4-,2,POL,Filippi,F52,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Soft,372.5,116.5,256,SM2P,53.5,25.3,No,17,36.5,,42,,,17,17.5,,,4.8,
,POL,,,,,,,,2,,85.0,C2,Skinny,Soft,372.5,116,256.5,SM2P,53.5,25.3,No,17.5,35,,42,,,17.5,17.5,,,5.15,
,,,,,,,,,3,,85.0,C2,Skinny,Soft,372.5,116.5,256,SM2P,53.5,25.3,No,19.5,33.5,,42,,,18,20.5,,,5.3,
,,,,,,,,,4,,85.0,C2,Skinny,Soft,371.5,116.5,255,SM2P,53.5,25.3,No,18,33,,42,,,16.5,17.5,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W4-,3,RUS,Filippi,F52,Alum Wing,Stern,Yes,1,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,15.5,30,,42.6,,,16,19,,,6.3,
,RUS,,,,,,,,2,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,15.5,37.5,,40,,,16.5,19,,,4.6,
,,,,,,,,,3,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,17,35.5,,40.2,,,16,20,,,5.2,
,,,,,,,,,4,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,15,33.5,,39.5,,,16,17.5,,,5.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,4,USA,Empacher,C40,Alum Wing,Stern,Yes,1,,85.0,Croker,M4,Regular,374,115,259,,,,No,12,42,,42,,,18,19,,,4,
,USA,,,,,,,,2,,85.0,Croker,M4,Regular,374,115,259,,,,No,12,40,,42,,,18,18,,,4,
,,,,,,,,,3,,85.0,Croker,M4,Regular,374,115,259,,,,No,12,39,,42,,,18,19,,,4,
,,,,,,,,,4,,85.0,Croker,M4,Regular,374,115,259,,,,No,12,46,,42,,,19,20,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,5,NED,Filippi,F52,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,17,34,,42.5,,,15.5,,,,4,
,NED,,,,,,,,2,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,16.5,40,,42.6,,,15.5,20,,,3.2,
,,,,,,,,,3,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,17.5,42.5,,42.5,,,17,18,,,4.3,
,,,,,,,,,4,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,20.5,39,,42.1,,,16,17.5,,,3.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,6,CHN,Empacher,R40,Alum wing,Stern,Yes,1,,85.5,C2,Skinny,Med,373,116,257,SM2P,53.5,25.3,No,17.5,36.5,,43.7,,,17.5,17.5,,,6.9,
,CHN,,,,,,,,2,,85.5,C2,Skinny,Med,373,116,257,SM2P,53.5,25.3,No,16,37,,44,,,18,19.5,,,7,
,,,,,,,,,3,,85.5,C2,Skinny,Med,373,116,257,SM2P,53.5,25.3,No,19,39,,43,,,16.5,18,,,7,
,,,,,,,,,4,,85.5,C2,Skinny,Med,373,116,257,SM2P,53.5,25.3,No,19,39.5,,44,,,17.5,18,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,7,GBR,Filippi,F42,Alum Wing,Stern,Yes,1,,85.0,C2,Skinny,Med,373,115.5,257.5,SM2P,53.5,25.3,No,,,59,45,,,16,20,,,4,
,GBR,,,,,,,,2,,85.0,C2,Skinny,Med,373,115.5,257.5,SM2P,53.5,25.3,No,,,60.5,45,,,17,20,,,6,
,,,,,,,,,3,,85.0,C2,Skinny,Med,373,115.5,257.5,SM2P,53.5,25.3,No,,,60,45,,,17,20,,,4,
,,,,,,,,,4,,85.0,C2,Skinny,Med,373,115.5,257.5,SM2P,53.5,25.3,No,,,57,45,,,15.5,19,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,8,ITA,Filippi,F43,Carbon wing,Stern,Yes,1,,85.8,C2,Skinny,Soft,373,115.5,257.5,SM2P,53.5,25.3,No,19.5,34.5,,40,,,17,17,,,5.2,
,ITA,,,,,,,,2,,86.0,C2,Skinny,Soft,373,115.5,257.5,SM2P,53.5,25.3,No,12.5,33.5,,42.4,,,16.5,17.5,,,5.7,
,,,,,,,,,3,,85.5,C2,Skinny,Soft,373,115.5,257.5,SM2P,53.5,25.3,No,16.5,28,,41.5,,,14.5,18,,,3.5,
,,,,,,,,,4,,86.0,C2,Skinny,Soft,373,115.5,257.5,SM2P,53.5,25.3,No,14,35,,42.5,,,15,17,,,6.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,9,CAN,Hudson,F43,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Soft,372,115,257,SM2P,53.5,25.3,No,8,,58,42,,,16,19,,,4,
,CAN,,,,,,,,2,,85.0,C2,Skinny,Soft,372,115,257,SM2P,53.5,25.3,No,8,,58,42,,,16,18,,,4,
,,,,,,,,,3,,85.0,C2,Skinny,Soft,372,115,257,SM2P,53.5,25.3,No,8,,58,42,,,16,17,,,4,
,,,,,,,,,4,,85.0,C2,Skinny,Soft,372,115,257,SM2P,53.5,25.3,No,8,,58,42,,,16,17,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,10,NZL,Filippi,F52,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Soft,373,115,258,SM2P,53.5,25.3,No,15,30,54,45,,,16.5,20,,,4,
,NZL,,,,,,,,2,,85.0,C2,Skinny,Soft,373,115,258,SM2P,53.5,25.3,No,18,36,59,45,,,17.1,22,,,4,
,,,,,,,,,3,,85.0,C2,Skinny,Soft,373,115,258,SM2P,53.5,25.3,No,18,34,58,45,,,17.7,18,,,4,
,,,,,,,,,4,,85.0,C2,Skinny,Soft,373,115,258,SM2P,53.5,25.3,No,22,36,59,45,,,17.2,17,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,11,ROM,Filippi,F52,Alum wing,Stern,Yes,1,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,14.5,30,58,38,,,13,19.5,,,5.3,
,ROM,,,,,,,,2,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,18.5,36,58,34.1,,,16,18,,,4.1,
,,,,,,,,,3,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,20,37,58,37.9,,,14,20,,,4.5,
,,,,,,,,,4,,85.0,C2,Skinny,Med,373,115,258,SM2P,53.5,25.3,No,25,37.5,58,37.5,,,14.5,19,,,3.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4-,12,FRA,Filippi,,Carbon wing,Stern,Yes,1,,85.0,C2,,Soft,375,116,259,SM2P,53.5,25.3,No,17,36,,42,,,15.5,19,,,5,
,FRA,,,,,,,,2,,85.0,C2,,Soft,375,116,259,SM2P,53.5,25.3,No,16,39,,42,,,15.5,20,,,5,
,,,,,,,,,3,,85.0,C2,,Soft,375,116,259,SM2P,53.5,25.3,No,22,34,,41,,,16.5,17,,,5,
,,,,,,,,,4,,85.0,C2,,Soft,375,116,259,SM2P,53.5,25.3,No,20,41,,41,,,15,18.5,,,6,
O,M4-,1,AUS,Empacher,C48,Carbon wing,Stern,Yes,1,,85.0,C2,Low i,Med,377,115,262,SM2P,53.5,25.3,No,17.0,37.0,,42.0,,,18.0,19.0,,,3.0,
,AUS,,,,,,Stern,Yes,2,,85.0,C2,Low i,Med,377,115,262,SM2P,53.5,25.3,No,17.0,36.0,,42.0,,,18.0,19.0,,,3.0,
,,,,,,,Stern,Yes,3,,85.0,C2,Low i,Med,377,115,262,SM2P,53.5,25.3,No,17.0,36.0,,42.0,,,18.0,19.0,,,3.0,
,,,,,,,Stern,Yes,4,,85.0,C2,Low i,Med,377,115,262,SM2P,53.5,25.3,No,17.0,36.0,,42.0,,,18.0,19.0,,,3.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,M4-,2,ITA,Filippi,F40,Alum wing,Stern,Yes,1,,83.0,C2,Standard,Med,375,114,261,SM2P,53.5,25.3,No,15.0,33.0,,41.0,,,18.5,17.5,,,6.0,
,ITA,,,,,,,,2,,83.0,C2,Standard,Med,376,114,262,SM2P,53.5,25.3,No,14.0,34.0,,41.0,,,20.0,19.0,,,4.0,
,,,,,,,,,3,,83.0,C2,Standard,Med,376,114,262,SM2P,53.5,25.3,No,13.0,36.0,,42.0,,,17.0,17.0,,,4.0,
,,,,,,,,,4,,83.0,C2,Standard,Med,376.5,114.5,262,SM2P,53.5,25.3,No,11.0,33.0,,42.0,,,18.5,20.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,M4-,3,GBR,Empacher,C48,Carbon wing,Stern,Yes,1,,84.5,C2,Standard,Med,377,114.5,262.5,SM2P,53.5,25.3,No,11.0,,59.0,43.0,,,19.5,20.0,,,4.0,
,GBR,,,,,,,,2,,84.5,C2,Skinny,Med,377,114.5,262.5,SM2P,53.5,25.3,No,10.0,,60.0,43.0,,,20.3,20.5,,,4.0,
,,,,,,,,,3,,84.5,C2,Skinny,Med,377,114.5,262.5,SM2P,53.5,25.3,No,10.0,,59.0,43.0,,,19.7,19.8,,,4.0,
,,,,,,,,,4,,84.5,C2,Skinny,Med,377,114.5,262.5,SM2P,53.5,25.3,No,10.0,,59.0,43.0,,,19.8,20.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,4,NED,Empacher,C48,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,,,,43.0,,,18.5,19.0,,,4.0,
,NED,,,,,,,,2,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,,,,43.0,,,18.5,18.0,,,4.0,
,,,,,,,,,3,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,,,,43.0,,,20.0,19.0,,,4.0,
,,,,,,,,,4,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,,,,43.0,,,20.0,20.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,5,DEN,Filippi,F40,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,376,116.5,259.5,SM2P,53.5,25.3,No,19.0,36.0,,45.0,,,19.0,18.5,,,5.0,
,DEN,,,,,,,,2,,85.0,C2,Skinny,Med,376,116.5,259.5,SM2P,53.5,25.3,No,21.0,34.0,,42.0,,,16.0,20.0,,,5.0,
,,,,,,,,,3,,85.0,C2,Skinny,Med,376,116.5,259.5,SM2P,53.5,25.3,No,20.0,34.0,,40.0,,,17.0,9.0,,,6.0,
,,,,,,,,,4,,85.0,C2,Skinny,Med,376,116.5,259.5,SM2P,53.5,25.3,No,21.0,42.0,,43.0,,,18.0,19.5,,,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,6,GER,Empacher,C48,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,377,115,262,SM2P,53.5,25.3,No,,,,,,,17.0,,,,6.9,
,GER,,,,,,,,2,,85.0,C2,Skinny,Med,377,115,262,SM2P,53.5,25.3,No,,,,,,,17.0,,,,7.0,
,,,,,,,,,3,,85.0,C2,Skinny,Med,377,115,262,SM2P,53.5,25.3,No,,,,,,,17.0,,,,7.0,
,,,,,,,,,4,,85.0,C2,Skinny,Med,377,115,262,SM2P,53.5,25.3,No,,,,,,,17.0,,,,7.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,7,ESP,Filippi,F40,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,17.5,34.0,,42.5,,,18.5,19.0,,,3.3,
,ESP,,,,,,,,2,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,14.5,37.5,,42.2,,,18.0,18.0,,,4.2,
,,,,,,,,,3,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,14.5,4.5,,41.6,,,17.5,19.5,,,4.4,
,,,,,,,,,4,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,16.5,34.0,,42.5,,,18.5,18.5,,,3.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,8,CAN,Hudson,S4.51,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,57.0,42.0,,,17.5,21.0,,,4.0,
,CAN,,,,,,,,2,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,66.0,42.0,,,18.5,23.0,,,4.0,
,,,,,,,,,3,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,66.0,42.0,,,18.5,22.5,,,4.0,
,,,,,,,,,4,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,59.0,42.0,,,17.8,19.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,9,FRA,Empacher,C45,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,376,115.5,260.5,SM2P,53.5,25.3,No,19.0,,,43.1,,,18.5,20.5,,,4.0,
,FRA,,,,,,,,2,,85.0,C2,Skinny,Med,376,115.5,260.5,SM2P,53.5,25.3,No,19.0,,,41.0,,,18.0,19.0,,,4.0,
,,,,,,,,,3,,85.0,C2,Skinny,Med,376,115.5,260.5,SM2P,53.5,25.3,No,18.5,,,41.0,,,17.5,17.5,,,4.0,
,,,,,,,,,4,,85.0,C2,Skinny,Med,376,115.5,260.5,SM2P,53.5,25.3,No,17.0,,,43.8,,,17.6,18.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,10,USA,Empacher,C48,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,,,,,,,,,,
,USA,,,,,,,,2,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,3,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,4,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,11,AUT,Empacher,C48,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,,,,SM2P,53.5,25.3,No,19.5,41.0,,43.0,,,17.5,19.0,,,6.3,
,AUT,,,,,,,,2,,85.0,C2,Skinny,Med,,,,SM2P,53.5,25.3,No,18.0,40.0,,43.8,,,17.5,19.5,,,5.4,
,,,,,,,,,3,,85.0,C2,Skinny,Med,,,,SM2P,53.5,25.3,No,19.5,43.5,,42.7,,,18.0,18.5,,,3.3,
,,,,,,,,,4,,85.0,C2,Skinny,Med,,,,SM2P,53.5,25.3,No,19.5,43.5,,43.5,,,18.0,20.0,,,4.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,12,NZL,Filippi,,Carbon wing,Stern,Yes,1,,84.0,C2,Standard,,376,115,261,SM2P,53.5,25.3,No,15.5,34.0,,42.0,,,18.0,20.0,,,4.0,
,NZL,,,,,,,,2,,84.0,C2,Standard,,376,115,261,SM2P,53.5,25.3,No,15.5,34.0,,42.0,,,17.5,20.0,,,4.0,
,,,,,,,,,3,,84.0,C2,Standard,,376,115,261,SM2P,53.5,25.3,No,15.5,32.0,,42.0,,,17.5,20.0,,,4.0,
,,,,,,,,,4,,84.0,C2,Standard,,376,115,261,SM2P,53.5,25.3,No,15.5,40.0,,42.0,,,17.8,20.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,13,RSA,Filippi,F38,Alum wing,Stern,Yes,1,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,11.0,37.0,,43.4,,,16.5,21.0,,,4.7,
,RSA,,,,,,,,2,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,11.0,30.5,,42.2,,,17.0,18.0,,,5.1,
,,,,,,,,,3,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,13.5,36.0,,41.9,,,18.0,19.5,,,7.0,
,,,,,,,,,4,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,10.0,31.0,,42.0,,,18.5,19.5,,,6.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,14,ARG,Hudson,S4.51,Carbon wing,Stern,Yes,1,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,17.0,37.0,,41.0,,,17.0,19.0,,,6.0,
,ARG,,,,,,,,2,,85.0,C2,Skinny,Med,375.5,115,260.5,SM2P,53.5,25.3,No,18.0,37.0,,43.0,,,16.5,19.0,,,4.0,
,,,,,,,,,3,,85.0,C2,Skinny,Med,376,115,261,SM2P,53.5,25.3,No,14.0,36.0,,43.0,,,18.0,19.5,,,6.0,
