Olympic/Non Olympic/Adaptive (O/N/A),Event ,Finish Position,Country,Boat Manufacturer,Model Number,Rigger Type,stern/bow mounted,Backstay,Position in Boat,Span (cm) Scull,Spread (cm)Sweep,Oar Manufacturer,Model,Shaft type and flex,Overall Oar Length (cm),Oar Inboard Length (cm),Oar Outboard Length (cm),Blade Shape,Blade Length (cm),Blade Width,Vortex Edge,Distance Through Work (cm),Line of Work Heels (cm),Line of Work - Toes (cm),Foot Stretcher Angle (deg),Swivel above Seat (cm) starboard scull,Swivel above Seat (cm) portside scull,Swivel above Seat (cm) Sweep,Seat above Heels (cm),Pitch (deg) starboard swivel,Pitch (deg) portside swivel,Pitch (deg) Sweep swivel,Measurement Date
,,,,,,,,,4,,85.0,C2,Skinny,Med,375.5,115,260.5,SM2P,53.5,25.3,No,17.0,37.0,,45.0,,,16.5,19.0,,,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M4-,15,LTU,Filippi,,Carbon wing,Stern,Yes,1,,85.5,C2,Standard,Stiff,375,116,259,SM2P,53.5,25.3,No,17.0,38.0,,37.0,,,18.5,15.5,,,6.0,
,LTU,,,,,,,,2,,85.0,C2,Standard,Stiff,376.5,117,259.5,SM2P,53.5,25.3,No,17.0,38.0,,37.0,,,19.0,18.0,,,6.0,
,,,,,,,,,3,,85.0,C2,Standard,Stiff,375.5,116,259.5,SM2P,53.5,25.3,No,17.0,43.0,,38.0,,,19.0,18.0,,,6.0,
,,,,,,,,,4,,85.0,C2,Standard,Stiff,375.5,116,259.5,SM2P,53.5,25.3,No,19.0,35.0,,36.0,,,19.0,17.0,,,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W4x,1,NED,Filippi,F52,Carbon wing,Bow,No,1,159.0,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,,37.0,58.0,43.0,17.0,15.5,,19.0,4.0,4.0,0,
,NED,,,,,,,No,2,159.0,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,,34.0,55.0,43.0,17.5,16.0,,19.5,4.0,4.0,,
,,,,,,,,,3,159.0,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,,39.5,61.0,43.0,18.0,16.5,,18.0,4.0,4.0,,
,,,,,,,,,4,159.0,,C2,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,,33.0,53.0,43.0,17.0,15.5,,18.0,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W4x,2,POL,Filippi,,Carbon wing,Stern,No,1,159.0,,C2,Skinny,Soft,288,89,199,SM2P,46,21.5,No,20.0,36.0,,43.0,18.5,16.5,,18.5,5.0,5.0,,
,POL,,,,,,,,2,159.0,,C2,Skinny,Soft,288,89,199,SM2P,46,21.5,No,21.0,41.0,,41.0,20.0,18.0,,19.0,5.0,5.0,,
,,,,,,,,,3,159.0,,C2,Skinny,Soft,288,89,199,SM2P,46,21.5,No,19.0,35.0,,42.0,19.0,17.5,,18.0,6.0,6.0,,
,,,,,,,,,4,159.0,,C2,Skinny,Soft,288,89,199,SM2P,46,21.5,No,21.0,43.0,,40.0,18.0,16.5,,14.0,5.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W4x,3,GBR,Empacher,,Carbon Wing,Bow,No,1,160.0,,Croker,Arrow,,289,87,202,Smoothie,44,22,No,15.0,36.5,58.0,46.0,17.0,16.0,,21.0,4.0,4.0,,
,GBR,,,,,,,,2,160.0,,Croker,Arrow,,289,87,202,Smoothie,44,22,No,18.0,35.0,55.0,46.0,17.0,16.0,,19.5,4.0,4.0,,
,,,,,,,,,3,160.0,,Croker,Arrow,,289,87,202,Smoothie,44,22,No,17.0,35.0,57.0,46.0,17.0,16.0,,19.5,4.0,4.0,,
,,,,,,,,,4,160.0,,Croker,Arrow,,289,87,202,Smoothie,44,22,No,16.0,34.5,57.0,46.0,17.0,16.0,,20.0,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,W4x,4,GER,Empacher,C40,Carbon Wing,Stern,Yes,1,159.5,,C2,Skinny,,286,88,198,Smooth,46,21.5,No,17.5,35.0,,44.0,17.5,16.0,,19.0,2.7,2.8,,
,GER,,,,,,,,2,161.0,,C2,Skinny,,287,88,199,Smooth,46,21.5,No,1.0,36.0,,45.5,16.5,15.5,,22.0,3.1,2.3,,
,,,,,,,,,3,160.0,,C2,Skinny,,287,88,199,Smoothie,46,21.5,No,17.5,38.0,,43.7,16.0,15.0,,21.0,3.1,2.8,,
,,,,,,,,,4,158.5,,C2,Skinny,,287,87.5,199.5,Smoothie,46,21.5,No,13.0,34.0,,42.0,16.0,15.0,,16.0,3.1,3.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4x,5,USA,Empacher,X40,Carbon wing,Bow,No,1,160.0,,Croker,S4,Regular,287,87,200,Smoothie,44,22,No,10.0,40.0,,42.0,18.0,17.0,,17.0,4.0,4.0,,
,USA,,,,,,,,2,160.0,,Croker,S4,Regular,287,87,200,Smoothie,44,22,No,10.0,42.0,,42.0,18.0,17.0,,17.0,4.0,4.0,,
,,,,,,,,,3,160.0,,Croker,S4,Regular,287,87,200,Smoothie,44,22,No,10.0,43.0,,42.0,18.0,17.0,,18.0,4.0,4.0,,
,,,,,,,,,4,160.0,,Croker,S4,Regular,287,87,200,Smoothie,44,22,No,10.0,41.0,,42.0,18.0,17.0,,18.0,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4x,6,AUS,Empacher,C40,Carbon wing,Stern,Yes,1,159.0,,Croker,S39,Soft,288,88,200,Smoothie,44,22,No,12.0,,58.0,40.0,17.0,16.0,,17.0,4.0,4.0,,
,AUS,,,,,,,,2,159.0,,Croker,S39,Soft,288,88,200,Smoothie,44,22,No,12.0,,61.0,41.0,19.0,18.0,,17.0,4.0,4.0,,
,,,,,,,,,3,159.0,,Croker,S39,Soft,288,88,200,Smoothie,44,22,No,12.0,,55.0,41.0,18.0,17.0,,17.0,4.0,4.0,,
,,,,,,,,,4,159.0,,Croker,S39,Soft,288,88,200,Smoothie,44,22,No,12.0,,59.0,43.0,17.0,16.0,,18.0,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4x,7,CHN,Empacher,X40,Carbon wing,Bow,No,1,159.0,,C2,Skinny,Med,288,87.5,200.5,SM2P,46,21.5,No,17.0,33.0,,42.0,18.0,16.5,,15.5,5.0,4.0,,
,CHN,,,,,,,,2,159.0,,C2,Skinny,Med,288,87.5,200.5,SM2P,46,21.5,No,16.0,32.0,,42.0,19.0,17.0,,16.5,4.0,4.0,,
,,,,,,,,,3,159.0,,C2,Skinny,Med,288,87.5,200.5,SM2P,46,21.5,No,15.0,33.0,,42.0,18.5,17.5,,16.0,4.0,4.0,,
,,,,,,,,,4,159.0,,C2,Skinny,Med,288,87.5,200.5,SM2P,46,21.5,No,14.0,33.0,,42.0,17.0,15.0,,16.0,4.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4x,8,UKR,Hudson,S4.21,Carbon Wing,Bow,Yes,1,158.0,,Braca,Ultralight,"CM4,D",287,87.5,199.5,DWB Spec,45,21,No,20.5,35.5,,38.5,17.0,15.0,,22.0,4.0,3.2,,
,UKR,,,,,,,,2,158.0,,Empacher,Ultralight,"CM4,D",287,88,199,DWB Spec,45,21,No,19.5,35.5,,37.7,17.0,16.0,,18.0,4.5,3.2,,
,,,,,,,,,3,158.0,,Empacher,Ultralight,"CM4,D",287,88,199,DWB Spec,45,21,No,19.0,33.0,,38.0,17.5,16.0,,20.5,5.5,3.5,,
,,,,,,,,,4,158.0,,Empacher,Ultralight,"CM4,D",287,88,199,DWB Spec,45,21,No,19.0,29.5,,38.8,16.0,15.0,,20.0,4.6,4.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W4x,9,FRA,Empacher,C40,Carbon Wing,Stern,Yes,1,159.0,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,16.5,34.5,,42.8,16.0,15.0,,19.0,5.2,6.5,,
,FRA,,,,,,,,2,159.0,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,16.0,36.5,,42.0,17.0,15.0,,21.0,5.3,5.4,,
,,,,,,,,,3,159.0,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,17.0,35.0,,45.2,17.0,16.0,,19.5,4.8,6.0,,
,,,,,,,,,4,159.0,,C2,Skinny,Soft,288,88,200,SM2P,46,21.5,No,15.0,37.0,,45.0,15.0,14.0,,19.0,6.9,6.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,M8+,1,GER,Empacher,C86,Carbon wing,Stern,Yes,1,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,9.0,
,GER,,,,,,,,2,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,8.0,
,,,,,,,,,3,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,9.0,
,,,,,,,,,4,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,9.0,
,,,,,,,,,5,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,9.0,
,,,,,,,,,6,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,8.0,
,,,,,,,,,7,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,9.0,
,,,,,,,,,8,,82.5,C2,Skinny,Med,377,112.5,264.5,SM2P,53.5,25.3,No,,,,,,,16-18,,,,8.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,M8+,2,USA,Empacher,R86,Alum wing,Stern,Yes,1,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,25.3,No,,,,,,,,,,,,
,USA,,,,,,,,2,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,3,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,4,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,5,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,6,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,7,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,25.3,No,,,,,,,,,,,,
,,,,,,,,,8,,83.0,C2,Skinny2,Med,376,113,263,SM2P,53.5,21.5,No,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,M8+,3,ITA,Filippi,F49,Carbon wing,Stern,Yes,1,,83.5,C2,Standard,,,,,SM2P,53.5,25.3,No,13.0,36.0,,40.8,,,20.5,18.5,,,3.7,
,ITA,,,,,,,,2,,83.5,C2,Standard,,,,,SM2P,53.5,25.3,No,16.5,38.0,,43.6,,,20.0,20.0,,,3.4,
,,,,,,,,,3,,83.5,C2,Standard,,,,,SM2P,53.5,25.3,No,17.0,37.0,,43.2,,,18.5,19.0,,,4.5,
,,,,,,,,,4,,83.5,C2,Standard,,,,,SM2P,53.5,25.3,No,14.0,40.0,,42.0,,,20.5,18.0,,,4.0,
,,,,,,,,,5,,83.5,C2,Standard,,,,,SM2P,53.5,25.3,No,13.5,39.0,,42.8,,,20.0,21.0,,,3.6,
,,,,,,,,,6,,83.5,C2,Standard,,,,,SM2P,53.5,25.3,No,14.5,37.0,,42.5,,,20.0,19.5,,,5.1,
,,,,,,,,,7,,83.5,C2,Standard,,,,,SM2P,53.5,25.3,No,16.0,39.5,,42.7,,,19.5,19.5,,,3.9,
,,,,,,,,,8,,83.5,C2,Standard,,,,,SM2P,53.5,21.5,No,15.5,36.0,,42.5,,,17.5,20.0,,,3.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,4,NED,Empacher,C86,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,,,,43.0,,,19.0,,,,5.0,
,NED,,,,,,,,2,,84.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,,,,43.0,,,19.0,,,,5.0,
,,,,,,,,,3,,83.5,C2,Skinny,Med,377,113.5,263.5,SM2P,53.5,25.3,No,,,,43.0,,,20.0,,,,5.0,
,,,,,,,,,4,,83.5,C2,Skinny,Med,377,113.5,263.5,SM2P,53.5,25.3,No,,,,43.0,,,20.0,,,,5.0,
,,,,,,,,,5,,84.0,C2,Skinny,Med,377,113.5,263.5,SM2P,53.5,25.3,No,,,,43.0,,,21.0,,,,5.0,
,,,,,,,,,6,,84.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,,,,43.0,,,21.0,,,,5.0,
,,,,,,,,,7,,84.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,,,,43.0,,,20.0,,,,5.0,
,,,,,,,,,8,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,21.5,No,,,,43.0,,,19.0,,,,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,5,ROU,Filippi,X,Carbon wing,Stern,Yes,1,,83.5,C2,Skinny,Med,376,113.5,262.5,SM2P,53.5,25.3,No,15.0,35.0,,42.0,,,18.5,18.0,,,4.0,
,ROU,,,,,,,,2,,84.0,C2,Skinny,Med,375,113,262,SM2P,53.5,25.3,No,15.0,38.0,,40.0,,,19.5,19.0,,,4.0,
,,,,,,,,,3,,83.5,C2,Skinny,Med,376,113.5,262.5,SM2P,53.5,25.3,No,15.0,38.0,,43.0,,,19.0,18.0,,,4.0,
,,,,,,,,,4,,83.5,C2,Skinny,Med,376,113.5,262.5,SM2P,53.5,25.3,No,15.0,39.0,,40.0,,,20.0,20.0,,,4.0,
,,,,,,,,,5,,83.5,C2,Skinny,Med,376,113.5,262.5,SM2P,53.5,25.3,No,15.0,0.0,,38.0,,,21.0,21.0,,,4.0,
,,,,,,,,,6,,83.5,C2,Skinny,Med,376,113.5,262.5,SM2P,53.5,25.3,No,17.0,36.0,,40.0,,,19.0,18.0,,,4.0,
,,,,,,,,,7,,84.0,C2,Skinny,Med,376,113.5,262.5,SM2P,53.5,25.3,No,13.0,39.0,,38.0,,,21.0,22.0,,,4.0,
,,,,,,,,,8,,83.5,C2,Skinny,Med,376,113.5,262.5,SM2P,53.5,21.5,No,18.0,40.0,,40.0,,,18.0,19.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,6,NZL,Filippi,F49,Alum wing,Stern,Yes,1,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,25.3,No,,,58.0,42.0,,,18.0,20.0,,,,
,NZL,,,,,,,,2,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,25.3,No,,,58.0,42.0,,,18.0,20.0,,,4.0,
,,,,,,,,,3,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,25.3,No,,,58.0,42.0,,,18.0,20.0,,,4.0,
,,,,,,,,,4,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,25.3,No,,,62.0,42.0,,,18.0,20.0,,,4.0,
,,,,,,,,,5,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,25.3,No,,,62.0,42.0,,,18.0,20.0,,,4.0,
,,,,,,,,,6,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,25.3,No,,,62.0,42.0,,,18.0,20.0,,,4.0,
,,,,,,,,,7,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,25.3,No,,,58.0,42.0,,,18.0,20.0,,,4.0,
,,,,,,,,,8,,83.0,C2,,Med,376,113.5,262.5,SM2P,53.5,21.5,No,,,58.0,42.0,,,18.0,20.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,7,GBR,Empacher,C86,Carbon wing,Stern,Yes,1,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,18.0,31.0,,43.0,,,18.0,18.0,,,5.0,
,GBR,,,,,,,,2,,83.0,C2,Skinny,Med,377,110.5,266.5,SM2P,53.5,25.3,No,16.0,32.0,,43.0,,,17.5,19.0,,,5.6,
,,,,,,,,,3,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,19.0,34.0,,43.0,,,18.5,17.0,,,6.0,
,,,,,,,,,4,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,17.0,34.0,,43.0,,,17.5,21.0,,,6.0,
,,,,,,,,,5,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,17.0,32.0,,40.6,,,18.5,19.0,,,5.9,
,,,,,,,,,6,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,20.0,35.0,,42.0,,,17.5,19.5,,,6.5,
,,,,,,,,,7,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,25.3,No,17.0,32.0,,43.0,,,18.5,18.0,,,5.9,
,,,,,,,,,8,,83.0,C2,Skinny,Med,377,114,263,SM2P,53.5,21.5,No,18.0,28.0,,42.0,,,16.5,20.0,,,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,8,AUS,Empacher,C86,Carbon wing,Stern,Yes,1,,,C2,,,377,114,263,SM2P,53.5,25.3,No,17.5,,61.0,42.0,,,18.0,19.0,,,3.0,
,AUS,,,,,,,,2,,,C2,,,377,114,263,SM2P,53.5,25.3,No,17.5,,66.0,42.0,,,18.5,18.0,,,3.0,
,,,,,,,,,3,,,C2,,,377,114,263,SM2P,53.5,25.3,No,17.5,,60.0,42.0,,,18.0,18.5,,,3.0,
,,,,,,,,,4,,,C2,,,377,114,263,SM2P,53.5,25.3,No,17.5,,63.0,42.0,,,19.0,19.5,,,3.0,
,,,,,,,,,5,,,C2,,,377,114,263,SM2P,53.5,25.3,No,17.5,,60.0,42.0,,,18.5,19.0,,,3.0,
,,,,,,,,,6,,,C2,,,377,114,263,SM2P,53.5,25.3,No,17.5,,66.0,42.0,,,18.0,18.5,,,3.0,
,,,,,,,,,7,,,C2,,,377,114,263,SM2P,53.5,25.3,No,17.5,,67.0,42.0,,,19.0,20.0,,,3.0,
,,,,,,,,,8,,,C2,,,377,114,263,SM2P,53.5,21.5,No,17.5,,64.0,42.0,,,17.5,19.5,,,3.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,9,UKR,Hudson,USP,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,23.0,37.0,58.0,41.5,,,18.5,19.0,,,,
,UKR,,,,,,,,2,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,20.0,33.0,58.0,42.0,,,18.5,18.5,,,5.0,
,,,,,,,,,3,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,23.0,40.0,58.0,41.5,,,18.5,18.0,,,5.0,
,,,,,,,,,4,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,24.0,39.0,62.0,45.0,,,19.5,19.5,,,5.0,
,,,,,,,,,5,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,27.0,43.0,62.0,42.5,,,19.0,21.0,,,5.0,
,,,,,,,,,6,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,36.0,44.0,62.0,45.0,,,17.0,19.0,,,6.0,
,,,,,,,,,7,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,25.3,No,25.0,39.0,58.0,42.0,,,18.5,21.5,,,5.0,
,,,,,,,,,8,,84.0,C2,Skinny,Med,376,114,262,SM2P,53.5,21.5,No,20.0,36.0,58.0,42.0,,,18.0,21.0,,,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,10,POL,Empacher,C86,Carbon wing,Stern,Yes,1,,82.5,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,25.3,No,13.5,40.0,,43.9,,,20.5,19.0,,,5.9,
,POL,,,,,,,,2,,82.5,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,25.3,No,13.5,44.0,,42.4,,,19.0,21.0,,,4.7,
,,,,,,,,,3,,82.5,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,25.3,No,13.5,45.5,,43.3,,,20.5,20.5,,,5.0,
,,,,,,,,,4,,82.5,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,25.3,No,16.5,40.0,,42.5,,,20.5,17.5,,,5.6,
,,,,,,,,,5,,82.5,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,25.3,No,18.0,43.0,,42.0,,,20.5,18.0,,,5.4,
,,,,,,,,,6,,82.5,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,25.3,No,15.0,43.5,,42.9,,,20.5,20.0,,,5.1,
,,,,,,,,,7,,83.0,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,25.3,No,16.0,37.0,,42.0,,,20.5,19.5,,,4.8,
,,,,,,,,,8,,83.0,C2,Skinny,Med,378,112.5,265.5,SM2P,53.5,21.5,No,17.5,43.0,,42.8,,,20.5,18.0,,,5.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,11,RUS,Filippi,F41,Carbon wing,Stern,Yes,1,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,25.3,No,15.0,35.0,,40.0,,,18.5,19.5,,,5.0,
,RUS,,,,,,,,2,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,25.3,No,15.0,35.0,,40.0,,,18.0,18.5,,,6.0,
,,,,,,,,,3,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,25.3,No,15.0,35.0,,43.0,,,18.0,20.5,,,5.0,
,,,,,,,,,4,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,25.3,No,15.0,35.0,,40.0,,,19.0,19.0,,,4.0,
,,,,,,,,,5,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,25.3,No,14.0,33.0,,40.0,,,18.5,18.5,,,5.0,
,,,,,,,,,6,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,25.3,No,14.0,33.5,,43.0,,,19.0,20.5,,,4.0,
,,,,,,,,,7,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,25.3,No,15.0,38.0,,41.0,,,19.0,19.5,,,4.0,
,,,,,,,,,8,,84.0,C2,Skinny,Stiff,376,114,262,SM2P,53.5,21.5,No,15.0,37.0,,42.0,,,19.0,19.0,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8+,12,CHN,Filippi,F41,Carbon wing,Stern,Yes,1,,84.0,C2,,Med,377,114,263,SM2P,53.5,25.3,No,15.0,36.0,,42.0,,,20.0,19.5,,,6.0,
,CHN,,,,,,,,2,,83.5,C2,,Med,377,114,263,SM2P,53.5,25.3,No,18.0,39.0,,41.0,,,20.0,19.5,,,5.0,
,,,,,,,,,3,,84.0,C2,,Med,377,114,263,SM2P,53.5,25.3,No,20.0,37.0,,42.0,,,20.0,20.5,,,6.0,
,,,,,,,,,4,,84.0,C2,,Med,377,114,263,SM2P,53.5,25.3,No,20.0,42.0,,41.0,,,20.5,19.5,,,5.0,
,,,,,,,,,5,,84.0,C2,,Med,377,114,263,SM2P,53.5,25.3,No,17.0,38.0,,42.0,,,20.5,20.0,,,6.0,
,,,,,,,,,6,,84.0,C2,,Med,377,114,263,SM2P,53.5,25.3,No,21.0,39.0,,42.0,,,20.0,20.0,,,6.0,
,,,,,,,,,7,,84.0,C2,,Med,377,114,263,SM2P,53.5,25.3,No,17.0,39.0,,41.0,,,20.0,19.0,,,6.0,
,,,,,,,,,8,,84.0,C2,,Med,377,114,263,SM2P,53.5,21.5,No,19.0,39.0,,42.0,,,21.5,20.0,,,5.0,